id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rogahn;Lily.Kihn75@yahoo.com;repurpose withdrawal;2022-12-20T09:22:19;71697;45464
2;Carey;O'Conner;Johnathon.Hammes@gmail.com;withdrawal;2022-12-20T13:19:11;75289;21024
3;Wilfrid;Spencer;Adan.Goodwin@gmail.com;Sleek;2022-12-19T22:22:35;71090;65309
4;Laurence;Gaylord;Alessia.Heathcote@hotmail.com;reinvent orchestrate;2022-12-19T17:52:12;52820;82484
5;Karson;Hammes;Eriberto14@hotmail.com;mobile Granite;2022-12-20T12:30:06;13439;33970
6;Aisha;Carroll;Fern.Ortiz73@gmail.com;Jersey time-frame;2022-12-19T21:16:18;64329;13556
7;Dedrick;Cremin;Karli72@yahoo.com;Devolved rich;2022-12-19T23:46:26;54588;45928
8;Clare;Willms;Bradley8@yahoo.com;payment Illinois;2022-12-20T13:49:50;3244;21747
9;Mariela;Spinka;Hope_Cruickshank98@hotmail.com;white;2022-12-20T05:10:29;90189;81327
10;Ada;Robel;Brent79@gmail.com;Table Alaska Checking;2022-12-19T17:50:39;32637;8639
